timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:54:10.140, 98 %, 89685 MiB, 392.17 W, 54, 2407 MHz
2026/08/15 03:54:15.141, 98 %, 91125 MiB, 459.41 W, 57, 2385 MHz
2026/08/15 03:54:20.141, 99 %, 91125 MiB, 461.30 W, 58, 2385 MHz
2026/08/15 03:54:25.142, 99 %, 92709 MiB, 461.64 W, 58, 2385 MHz
2026/08/15 03:54:30.142, 98 %, 92709 MiB, 461.62 W, 60, 2385 MHz
2026/08/15 03:54:35.143, 97 %, 92709 MiB, 393.35 W, 57, 2415 MHz
2026/08/15 03:54:40.144, 0 %, 1699 MiB, 90.18 W, 50, 2422 MHz
2026/08/15 03:54:45.144, 0 %, 0 MiB, 87.97 W, 46, 2422 MHz
2026/08/15 03:54:50.145, 0 %, 0 MiB, 50.93 W, 43, 180 MHz
2026/08/15 03:54:55.145, 0 %, 3 MiB, 35.92 W, 40, 180 MHz
2026/08/15 03:55:00.146, 0 %, 3 MiB, 35.78 W, 39, 180 MHz
2026/08/15 03:55:05.146, 0 %, 1583 MiB, 51.77 W, 39, 2340 MHz
2026/08/15 03:55:10.147, 0 %, 1583 MiB, 88.49 W, 38, 2340 MHz
2026/08/15 03:55:15.147, 13 %, 31451 MiB, 93.26 W, 38, 2340 MHz
2026/08/15 03:55:20.148, 61 %, 85339 MiB, 299.53 W, 46, 2340 MHz
2026/08/15 03:55:25.149, 31 %, 85587 MiB, 186.05 W, 42, 2310 MHz
2026/08/15 03:55:30.149, 0 %, 85841 MiB, 116.31 W, 39, 2340 MHz
2026/08/15 03:55:35.150, 38 %, 86529 MiB, 141.96 W, 42, 2332 MHz
2026/08/15 03:55:40.150, 0 %, 87397 MiB, 92.68 W, 38, 2340 MHz
2026/08/15 03:55:45.151, 97 %, 87631 MiB, 261.68 W, 54, 2295 MHz
2026/08/15 03:55:50.151, 99 %, 87631 MiB, 559.70 W, 59, 2325 MHz
2026/08/15 03:55:55.152, 100 %, 87633 MiB, 526.65 W, 62, 2340 MHz
2026/08/15 03:56:00.152, 100 %, 87633 MiB, 522.28 W, 60, 2347 MHz
2026/08/15 03:56:05.153, 100 %, 87635 MiB, 509.54 W, 64, 2355 MHz
2026/08/15 03:56:10.153, 96 %, 87637 MiB, 489.03 W, 63, 2355 MHz
2026/08/15 03:56:15.154, 95 %, 87637 MiB, 501.05 W, 67, 2355 MHz
