timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:33:31.265, 0 %, 3 MiB, 35.73 W, 41, 180 MHz
2026/08/15 02:33:36.266, 0 %, 3 MiB, 32.94 W, 40, 180 MHz
2026/08/15 02:33:41.266, 0 %, 1583 MiB, 70.42 W, 39, 2092 MHz
2026/08/15 02:33:46.267, 0 %, 1583 MiB, 86.05 W, 39, 2332 MHz
2026/08/15 02:33:51.267, 12 %, 31451 MiB, 90.59 W, 39, 2332 MHz
2026/08/15 02:33:56.268, 56 %, 85319 MiB, 302.35 W, 47, 2355 MHz
2026/08/15 02:34:01.269, 4 %, 85561 MiB, 199.03 W, 41, 2295 MHz
2026/08/15 02:34:06.269, 14 %, 85807 MiB, 117.39 W, 40, 2325 MHz
2026/08/15 02:34:11.270, 28 %, 86039 MiB, 163.31 W, 41, 2302 MHz
2026/08/15 02:34:16.270, 0 %, 87355 MiB, 87.48 W, 39, 2332 MHz
2026/08/15 02:34:21.271, 97 %, 87723 MiB, 320.33 W, 44, 2422 MHz
2026/08/15 02:34:26.271, 97 %, 87723 MiB, 308.79 W, 46, 2422 MHz
2026/08/15 02:34:31.272, 98 %, 87867 MiB, 312.35 W, 46, 2422 MHz
2026/08/15 02:34:36.272, 97 %, 87867 MiB, 312.96 W, 47, 2422 MHz
2026/08/15 02:34:41.273, 97 %, 87867 MiB, 313.58 W, 48, 2422 MHz
2026/08/15 02:34:46.273, 97 %, 87867 MiB, 314.01 W, 48, 2422 MHz
2026/08/15 02:34:51.274, 97 %, 87867 MiB, 314.58 W, 49, 2422 MHz
2026/08/15 02:34:56.274, 97 %, 87867 MiB, 312.25 W, 49, 2422 MHz
2026/08/15 02:35:01.275, 97 %, 87867 MiB, 314.92 W, 49, 2422 MHz
2026/08/15 02:35:06.275, 97 %, 87867 MiB, 315.42 W, 50, 2422 MHz
2026/08/15 02:35:11.276, 97 %, 87867 MiB, 316.08 W, 50, 2422 MHz
2026/08/15 02:35:16.276, 97 %, 87867 MiB, 311.67 W, 50, 2422 MHz
2026/08/15 02:35:21.277, 75 %, 87867 MiB, 311.75 W, 50, 2422 MHz
2026/08/15 02:35:26.277, 97 %, 87867 MiB, 317.10 W, 50, 2422 MHz
2026/08/15 02:35:31.278, 98 %, 87867 MiB, 316.92 W, 51, 2422 MHz
2026/08/15 02:35:36.279, 97 %, 87867 MiB, 316.78 W, 51, 2422 MHz
2026/08/15 02:35:41.279, 97 %, 87867 MiB, 317.21 W, 51, 2422 MHz
2026/08/15 02:35:46.280, 98 %, 90031 MiB, 419.16 W, 54, 2407 MHz
2026/08/15 02:35:51.280, 98 %, 90031 MiB, 427.44 W, 55, 2407 MHz
2026/08/15 02:35:56.281, 98 %, 90031 MiB, 427.69 W, 58, 2407 MHz
